Date,Symbols,Close,High,Low,Open,Volume
2020-05-13,PFE,33.8504,34.1939,33.4268,34.0875,25542018.279625
2020-05-13,BNTX,48.0294,50.4066,46.9795,50.0203,1482870.8498142
2020-05-13,MRNA,65.18,66.97,60.29,63.8003,22125959.0
2020-05-14,GOOGL,67.843,67.8685,66.165,66.676,36660340.0
2020-05-14,PFE,34.6458,34.6838,33.6035,33.623,23221795.378605
2020-05-14,BNTX,48.1978,48.6138,44.6518,48.0987,1109648.5966275
2020-05-14,MRNA,64.56,65.39,61.44,64.79,12198249.0
2020-05-15,GOOGL,68.653,68.729,66.95,67.413,41543980.0
2020-05-15,PFE,34.5003,34.8741,34.1568,34.6838,26438323.952091
2020-05-15,BNTX,49.0199,49.2675,47.7421,48.0492,801441.92910272
2020-05-15,MRNA,66.69,67.67,63.01,63.79,16341869.0
2020-05-18,GOOGL,69.259,69.638,67.71,68.079,47128980.0
2020-05-18,PFE,34.7834,35.1395,34.3812,35.0303,23508988.064716
2020-05-18,BNTX,59.5984,59.856,50.1193,54.22,5065315.6368616
2020-05-18,MRNA,80.0,87.0,75.66,86.14,81209374.0
2020-05-19,GOOGL,68.72,69.6245,68.688,69.274,31585000.0
2020-05-19,PFE,34.4262,34.7366,34.0875,34.5834,20224583.303212
2020-05-19,BNTX,50.1094,57.3896,49.4755,56.4586,3646767.793875
2020-05-19,MRNA,71.67,79.75,70.32,78.07,64932254.0
2020-05-20,GOOGL,70.458,70.6013,69.371,69.458,38262660.0
2020-05-20,PFE,34.3812,34.9025,34.3042,34.674,18176862.173195
2020-05-20,BNTX,52.5362,53.2097,51.1297,52.7046,1998331.2286746
2020-05-20,MRNA,73.47,74.48,67.41,70.01,53655278.0
2020-05-21,GOOGL,70.3375,70.823,69.7195,70.5495,30899520.0
2020-05-21,PFE,34.0416,34.3989,33.8504,34.3267,18330481.989192
2020-05-21,BNTX,51.407,53.6852,50.6592,53.5861,1104799.5351981
2020-05-21,MRNA,67.05,73.16,65.31,73.05,35317971.0
2020-05-22,GOOGL,70.662,70.85,69.7975,70.195,28544120.0
